КодФирмы,Территория
3121,"04. див. Урал"
2106,"06. див. Средняя Волга"
311,"09. див. Черноземье"
618,"09. див. Черноземье"
590,"01. див. Дальний Восток"
571,"09. див. Черноземье"
591,"06. див. Средняя Волга"
379,"02. див. Восточная Сибирь"
1341,"09. див. Черноземье"
564,"07. див. Верхняя Волга"
1866,"07. див. Верхняя Волга"
1516,"07. див. Верхняя Волга"
1347,"04. див. Урал"
1746,"08. див. Центральный"
570,"09. див. Черноземье"
639,"07. див. Верхняя Волга"
41,"01. див. Дальний Восток"
380,"02. див. Восточная Сибирь"
198,"03. див. Западная Сибирь"
305,"07. див. Верхняя Волга"
1353,"06. див. Средняя Волга"
1348,"05. див. Юг"
1355,"01. див. Дальний Восток"
569,"09. див. Черноземье"
3400,"09. див. Черноземье"
3295,"04. див. Урал"
325,"08. див. Центральный"
3567,"09. див. Черноземье"
613,"07. див. Верхняя Волга"
1764,"04. див. Урал"
393,"09. див. Черноземье"
2953,"09. див. Черноземье"
383,"02. див. Восточная Сибирь"
3282,"03. див. Западная Сибирь"
37,"03. див. Западная Сибирь"
1002,"02. див. Восточная Сибирь"
585,"11. див. Северо-Западный"
2903,"10. див. Приволжский"
3551,"01. див. Дальний Восток"
3558,"10. див. Приволжский"
3559,"10. див. Приволжский"
3563,"05. див. Юг"
3564,"05. див. Юг"
3751,"08. див. Центральный"
3990,"04. див. Урал"
4056,"01. див. Дальний Восток"
4154,"07. див. Верхняя Волга"
4204,"02. див. Восточная Сибирь"
4393,"10. див. Приволжский"
4621,"10. див. Приволжский"
4622,"10. див. Приволжский"
4623,"10. див. Приволжский"
4624,"10. див. Приволжский"
4625,"10. див. Приволжский"
4736,"02. див. Восточная Сибирь"
4790,"02. див. Восточная Сибирь"
4408,"01. див. Дальний Восток"
4409,"01. див. Дальний Восток"
4410,"01. див. Дальний Восток"
4411,"01. див. Дальний Восток"
4419,"01. див. Дальний Восток"
4449,"10. див. Приволжский"
4467,"10. див. Приволжский"
4690,"02. див. Восточная Сибирь"
4691,"02. див. Восточная Сибирь"
4692,"02. див. Восточная Сибирь"
4722,"06. див. Средняя Волга"
4723,"06. див. Средняя Волга"
4724,"06. див. Средняя Волга"
4725,"06. див. Средняя Волга"
4726,"06. див. Средняя Волга"
4727,"06. див. Средняя Волга"
4728,"06. див. Средняя Волга"
4729,"06. див. Средняя Волга"
4730,"06. див. Средняя Волга"
4732,"06. див. Средняя Волга"
4731,"06. див. Средняя Волга"
4742,"06. див. Средняя Волга"
4835,"07. див. Верхняя Волга"
4836,"07. див. Верхняя Волга"
4843,"01. див. Дальний Восток"
4844,"09. див. Черноземье"
4846,"09. див. Черноземье"
572,"09. див. Черноземье"
3855,"10. див. Приволжский"
277,"02. див. Восточная Сибирь"
461,"11. див. Северо-Западный"
97,"01. див. Дальний Восток"
29,"01. див. Дальний Восток"
378,"02. див. Восточная Сибирь"
588,"08. див. Центральный"
578,"08. див. Центральный"
444,"01. див. Дальний Восток"
72,"03. див. Западная Сибирь"
881,"08. див. Центральный"
1793,"04. див. Урал"
1503,"11. див. Северо-Западный"
1518,"09. див. Черноземье"
301,"06. див. Средняя Волга"
1340,"10. див. Приволжский"
3170,"11. див. Северо-Западный"
245,"03. див. Западная Сибирь"
1350,"08. див. Центральный"
308,"07. див. Верхняя Волга"
1519,"10. див. Приволжский"
607,"02. див. Восточная Сибирь"
586,"11. див. Северо-Западный"
1517,"11. див. Северо-Западный"
3183,"02. див. Восточная Сибирь"
267,"02. див. Восточная Сибирь"
1338,"07. див. Верхняя Волга"
582,"10. див. Приволжский"
2446,"02. див. Восточная Сибирь"
46,"03. див. Западная Сибирь"
65,"01. див. Дальний Восток"
1196,"02. див. Восточная Сибирь"
335,"09. див. Черноземье"
1720,"05. див. Юг"
1249,"11. див. Северо-Западный"
70,"01. див. Дальний Восток"
839,"04. див. Урал"
334,"09. див. Черноземье"
1329,"04. див. Урал"
533,"04. див. Урал"
965,"05. див. Юг"
714,"10. див. Приволжский"
1030,"04. див. Урал"
3043,"05. див. Юг"
283,"02. див. Восточная Сибирь"
971,"09. див. Черноземье"
2694,"08. див. Центральный"
2333,"04. див. Урал"
3007,"10. див. Приволжский"
75,"03. див. Западная Сибирь"
76,"02. див. Восточная Сибирь"
730,"08. див. Центральный"
1723,"04. див. Урал"
496,"03. див. Западная Сибирь"
1213,"04. див. Урал"
710,"10. див. Приволжский"
1255,"04. див. Урал"
2359,"01. див. Дальний Восток"
732,"09. див. Черноземье"
227,"06. див. Средняя Волга"
731,"08. див. Центральный"
865,"08. див. Центральный"
2141,"10. див. Приволжский"
522,"01. див. Дальний Восток"
3038,"05. див. Юг"
372,"05. див. Юг"
1009,"04. див. Урал"
1540,"04. див. Урал"
622,"06. див. Средняя Волга"
1727,"04. див. Урал"
363,"03. див. Западная Сибирь"
1728,"07. див. Верхняя Волга"
1263,"04. див. Урал"
1730,"07. див. Верхняя Волга"
1243,"02. див. Восточная Сибирь"
1733,"02. див. Восточная Сибирь"
1735,"01. див. Дальний Восток"
494,"03. див. Западная Сибирь"
1252,"03. див. Западная Сибирь"
1220,"09. див. Черноземье"
1276,"09. див. Черноземье"
492,"03. див. Западная Сибирь"
3016,"06. див. Средняя Волга"
1221,"07. див. Верхняя Волга"
1032,"06. див. Средняя Волга"
2681,"11. див. Северо-Западный"
796,"07. див. Верхняя Волга"
3039,"04. див. Урал"
705,"11. див. Северо-Западный"
1740,"02. див. Восточная Сибирь"
691,"09. див. Черноземье"
162,"03. див. Западная Сибирь"
376,"07. див. Верхняя Волга"
693,"09. див. Черноземье"
3070,"09. див. Черноземье"
1741,"03. див. Западная Сибирь"
1645,"01. див. Дальний Восток"
3152,"06. див. Средняя Волга"
505,"07. див. Верхняя Волга"
795,"07. див. Верхняя Волга"
246,"02. див. Восточная Сибирь"
1164,"04. див. Урал"
843,"08. див. Центральный"
1743,"01. див. Дальний Восток"
